id|language|text
13_FE|ES|Deducción por inversión, fomento de empresas
13_FE|EU|Kenkaria, inbertsioengatik, enpresak sustatzeagatik
13_IAE|ES|Cuotas IAE e IVPEE y otros pagos a cuenta
13_IAE|EU|JEZeko eta EEEBZko kuotak eta konturako beste ordainketak
13_PBI|ES|Pérdida beneficios inversión
13_PBI|EU|Etekinen galera inbertsioagatik
13_PF|ES|Pagos fraccionados
13_PF|EU|Zatikako ordainketak
13_PV|ES|Pensiones de viudedad
13_PV|EU|Alargun pentsioak
C059100|ES|Asistente cálculo deducción por pensión viudedad. Esta deducción se aplica a pensiones de viudedad con derecho al complemento a mínimos de la Seg. Social o cuando el importe, en su modalidad contributiva, sea inferior al Salario M. I. y a las percibidas del S.O.V.I., según el art. 68 del TR del impuesto.
C059100|EU|591ko kalkuluaren 2. adibidea. Murrizketa hori alarguntzako pentsioei aplikatzen zaie, Gizarte Segurantzaren gutxiengoen osagarriaren eskubideekin edo zenbatekoa, zergapeko modalitatean, lanbide arteko gutxieko soldata eta SOVItik jasotakoak baino baxuagoa denean, TRko 68 artikuluaren 
C059100_ayudaCalculoDeduccion|ES|Ayuda cálculo deducción
C059100_ayudaCalculoDeduccion|EU|Murrizketa kalkulatzeko laguntza
C059100_entradaDirecta|ES|Entrada directa
C059100_entradaDirecta|EU|Zuzeneko sarrera
W000151_Si|ES|Sí
W000151_Si|EU|Bai
W000151_No|ES|No
W000151_No|EU|Ez
W000151|ES|¿Pensión de viudedad con derecho a complementos mínimos?
W000151|EU|Alarguntza-pentsioa gutxienekoen osagarria jasotzeko eskubidearekin?
W000251_Si|ES|Sí
W000251_Si|EU|Bai
W000251_No|ES|No
W000251_No|EU|Ez
W000251|ES|¿Titular de pensión tiene discapacidad >= 65%?
W000251|EU|Minusbalioagatiko laguntza barne hartzen al du >= %65?
W000351|ES|Suma anualizada de pensiones de viudedad y concurrentes en {{EjercicioActual}}
W000351|EU|Alarguntza-pentsioaren zenbateko osoa urte honetan: {{EjercicioActual}}
W000451|ES|Fecha de inicio de la pensión. Sólo si es posterior a 01/01/{{EjercicioActual}}
W000451|EU|Pentsioaren hasiera data. {{EjercicioActual}}/01/01 ondorengoa bada soilik
W000551|ES|Fecha final de la pensión. Sólo si es anterior a 31/12/{{EjercicioActual}}
W000551|EU|Pentsioaren amaierako data: bakarrik {{EjercicioActual}}/12/31 baino lehenagokoa bada
13_RT|ES|Deducciones cuota - Por rentas de trabajo.
13_RT|EU|Kenkariak kuotan - Lan-errentengatik.
13_SVI|ES|Seguros de vida e invalidez
13_SVI|EU|Bizi-aseguruak eta baliaezintasunekoak
A1A|ES|Transmisiones: Venta de vivienda habitual, inmuebles, acciones con cotización oficial, terrenos rústicos, otros...
A1A|EU|Ohiko etxebizitzaren salmenta, edo beste higiezinena, edo enpresa edo lanbideko jardueretan erabilitako ondasunena
A1A_BA|ES|Venta de bienes usados en actividades empresariales o profesionales
A1A_BA|EU|Salmenta, enpresa edo lanbideko jardueretan erabilitako ondasunena
A1A_BAMatriz|ES|Incrementos y disminuciones patrimoniales derivados de transmisiones. Bienes afectos.
A1A_BAMatriz|EU| Ondare-gehikuntzak eta ondare-gutxitzeak, eskualdaketetatik datozenak. Ondasun lotuak.
C068901|ES|Modalidad de transmisión
C068901|EU|Eskualdatze mota
C069001_BienesInmueblesNCOP|ES|Bienes inmuebles N.C.O.P.
C069001_BienesInmueblesNCOP|EU|Ondasun higiezinak
C069001_BienesMuebles|ES|Bienes muebles
C069001_BienesMuebles|EU|Ondasun higigarriak
C069001_Inmateriales|ES|Inmateriales
C069001_Inmateriales|EU|Inmaterialak
C069001_TerrenosRusticos|ES|Terrenos rústicos
C069001_TerrenosRusticos|EU|Landako lurrak
C069001_TerrenosRusticosRecalificados|ES|Terrenos rústicos recalificados
C069001_TerrenosRusticosRecalificados|EU|Birkalifikatutako landako lursailak
C069001_TotalidadPatrimonioEmpProf|ES|Transmisión empresas o participaciones en entidades
C069001_TotalidadPatrimonioEmpProf|EU|Enpresen eskualdaketa
C069001|ES|Tipo de bien
C069001|EU|Ondasun mota
A1A_IO|ES|Venta de inmuebles y otros (acciones ...)
A1A_IO|EU|Higiezinen eta bestelakoen salmenta
A1A_IOMatriz|ES|Incrementos y disminuciones patrimoniales derivados de transmisiones. Inmuebles y otros.
A1A_IOMatriz|EU|Ondare-gehikuntzak eta ondare-gutxitzeak, eskualdaketetatik datozenak. Higiezinak eta bestelakoak.
C066301|ES|Modalidad de transmisión
C066301|EU|Eskualdatze mota
C066401_BienesInmueblesNCOP|ES|Bienes inmuebles N.C.O.P.
C066401_BienesInmueblesNCOP|EU|Ondasun higiezinak N.C.O.P.
C066401_AccCotOficial|ES|Acciones cotización oficial
C066401_AccCotOficial|EU|Ek. Kot. Ofiziala
C066401_OtrosBienes|ES|Otros bienes
C066401_OtrosBienes|EU|Besteak
C066401_TerrenosRusticos|ES|Terrenos rústicos
C066401_TerrenosRusticos|EU|Landako lurrak
C066401_TerrenosRusticosRecalificados|ES|Terrenos rústicos recalificados
C066401_TerrenosRusticosRecalificados|EU|Birkalifikatutako landako lursailak
C066401|ES|Tipo de bien o derecho
C066401|EU|Ondasun edo eskubide mota
C066402_CalculoManual|ES|Cálculo manual
C066402_CalculoManual|EU|Eskuzko kalkulua
C066402_CalculoAutomatico|ES|Cálculo automático
C066402_CalculoAutomatico|EU|Kalkulu automatikoa
C066402|ES|Cálculo manual o automático
C066402|EU|Kalkulu automatikoa ala eskuzkoa
A1A_VH|ES|Venta de vivienda habitual
A1A_VH|EU|Ohiko etxebizitzaren salmenta
A1B|ES|Subvenciones de vivienda
A1B|EU|Etxebizitzaren diru-laguntzak
A1BApartado|ES|Incrementos y disminuciones. Subvenciones de vivienda.
A1BApartado|EU|Gehikuntzak eta gutxitzeak. Etxebizitzaren diru-laguntzak.
A1C|ES|Fondos inversión
A1C|EU|Inbertsio funtsak
A1CApartado|ES|Incrementos y disminuciones. Fondos de inversión.
A1CApartado|EU|Gehikuntzak eta gutxitzeak. Inbertsio funtsak.
FIMatriz|ES|Incrementos y disminuciones patrimoniales derivados de la transmisión de fondos de inversión.
FIMatriz|EU|Ondare-gehikuntzak eta ondare-gutxitzeak, inbertsio funtsen eskualdaketen ondoriozkoak.
C070901|ES|Modalidad de transmisión
C070901|EU|Eskualdatze mota
A1D|ES|Deuda pública
A1D|EU|Zor publikoa
A1DApartado|ES|Incrementos y disminuciones. Deuda pública.
A1DApartado|EU|Gehikuntzak eta gutxitzeak. Zor publikoa.
A1E|ES|Incrementos exentos hasta 3.000
A1E|EU|Gehikuntza salbuetsiak 3.000 arte
A1EApartado|ES|Incrementos y disminuciones. Onerosas hasta 3.000.
