id;description;type;enum;format;minimum;exclusiveMinimum;maximum;exclusiveMaximum;minLength;maxLength;uniqueItems;minItems;multipleOf;maxItems;properties;required;discriminator;oneOf;allOf;readOnly;menuItem;expandible
liquidacion;;object;;;;;;;;;;;;;V001121,V002121,V003121,C007102,E001113,C095601,C065801,C097801,C066300,reduccionesVinculadasAConyugeEnum,modalidadTributacionRef,cuentaBancaria,nifSujetoPasivo,C165901,C002201,C156008,C067001,C067002,C066901,C166101,C095901,C096101,C096201,C096107,C096115,C096125,X001202,X001502,X001602,X001702,X001802,X001902,C028000,C083901,C838001,C838101,C084001,C063201,C063301,C063401,C028501,C028601,C028701,C028801,C028901,X012001,C083902,C838002,C838102,C084002,C063202,C063302,C063402,C028502,C028602,C028702,C028802,C028902,X011901,C098701,C098702,S000151,S000251,C090701,D248220,C059108;;;;;;false;false
soltero;;object;;;;;;;;;;;;;estadoCivil:estadoCivilSoltero;estadoCivil;;;;;false;false
pareja;;object;;;;;;;;;;;;;estadoCivil:estadoCivilPareja,regimenEconomico,conyuge;conyuge,regimenEconomico,estadoCivil;;;;;false;false
estadoCivilSoltero;;string;Soltero,Otros;;;;;;;;;;;;;;;;;;false;false
estadoCivilPareja;;string;Casado,UnionEstable;;;;;;;;;;;;;;;;;;false;false
declarante;;object;;;;;;;;;;;;;;nif;;;identificacion,fechaF,minusval,sex,domicilio,tieneHechosEconomicos;;false;true
conyuge;;object;;;;;;;;;;;;;;nif;;;identificacion,fechaF,minusval,sex,domicilio,tieneHechosEconomicos;;false;true
identificacion;;object;;;;;;;;;;;;;primerApellido,segundoApellido,nombre,nif,fechaNacimiento;nombre,fechaNacimiento,primerApellido;;;;;false;false
domicilio;;object;;;;;;;;;;;;;nuevoDomicilio,tipoVia,calle,numero,escalera,piso,puerta,localidad,codigoPostal,telefono,correoElectronico,tipoResidencia;nuevoDomicilio,tipoVia,calle,numero,localidad,codigoPostal,tipoResidencia;tipoResidencia;tipoResidencia_Otros,tipoResidencia_Arrendamiento;;;false;false
tipoResidencia_Arrendamiento;;object;;;;;;;;;;;;;tipoResidencia:tipoResidenciaE_Arrendamiento,nifArrendador,Apellido1Arrendador,Apellido2Arrendador,nombreArrendador;;;;;;false;false
tipoResidencia_Otros;;object;;;;;;;;;;;;;tipoResidencia:tipoResidenciaE_Otros;;;;;;false;false
descendientesHijosIncapacitados;;array;;;;;;;;;true;;;15;descendientesHijosIncapacitadosVector;;;;;;false;false
descendienteHijoIncapacitado;;object;;;;;;;;;;;;;fechaFallecimiento,minusvalia,parentesco,estudiante,hechosEconomicos;parentesco,minusvalia;;;;;false;false
descendientesHijosIncapacitadosVector;;object;;;;;;;;;;;;;;;;;incap,identificacion,reduccionesVinculadasA,sex,descendienteHijoIncapacitado;;false;true
ascendientes;;array;;;;;;;;;true;;;4;ascendientesVector;;;;;;false;false
ascendientesVector;;object;;;;;;;;;;;;;;nif;;;identificacion,reduccionesVinculadasAAscendiente,minusval,sex;;false;true
asistidos;;array;;;;;;;;;true;;;2;asistidosVector;;;;;;false;false
regimenEconomico;;string;Conquistas,Separacion,Otros;;;;;;;;;;;;;;;;;;false;false
reduccionesVinculadasA;;object;;;;;;;;;;;;;reduccionesVinculadasA:reduccionesVinculadasAEnum;reduccionesVinculadasA;;;;;false;false
reduccionesVinculadasAAscendiente;;object;;;;;;;;;;;;;reduccionesVinculadasA:reduccionesVinculadasAAscendienteEnum;reduccionesVinculadasA;;;;;false;false
familiaNumerosa;;string;Si,No;;;;;;;;;;;;;;;;;;false;false
modalidadTributacionRef;;object;;;;;;;;;;;;;modalidadTributacion;modalidadTributacion;;;;;false;false
sex;;object;;;;;;;;;;;;;sexo;sexo;;;;;false;false
incap;;object;;;;;;;;;;;;;incapacitado;;;;;;false;false
minusval;;object;;;;;;;;;;;;;minusvalia;minusvalia;;;;;false;false
asistidosVector;;object;;;;;;;;;;;;;;nif;;;identificacion,reduccionesVinculadasA,sex;;false;true
fechaF;;object;;;;;;;;;;;;;fechaFallecimiento;;;;;;false;false
